timestamp;name;errorForTrainer;"exception.stackTraceString";"exception.innerException.message";"exception.failedRecipient"
"Dec 1, 2016 @ 01:04:58.000";"Natalie WELCH";1;;"In Main catch block. Caught: Error caused by trying ThrowInner. Inner Exception is MyAppException: ExceptExample inner exception at ExceptExample.ThrowInner() at ExceptExample.CatchInner()";"<user@example.com>: host mail9.example.com said: 552 Requested mail action aborted: exceeded storage allocation"
"Nov 29, 2016 @ 11:00:11.000";"Dennis MEYERS";1;"Exception thrown: 'System.IndexOutOfRangeException' in ML_forcasting_test.dll 'ML_forcasting_test.exe'(CoreCLR: clrhost): Loaded 'C:\Program Files\dotnet\shared\Microsoft.NETCore.App\3.1.9\System.Diagnostics.StackTrace.dll'. 'ML_forcasting_test.exe'(CoreCLR: clrhost): Loaded 'C:\Program Files\dotnet\shared\Microsoft.NETCore.App\3.1.9\System.Reflection.Metadata.dll'.at ML_forcasting_test.Program.<> c__DisplayClass2_0.< Main > b__7(DBschemeModel rental, Int32 index) in C: \Users\Bjerne\source\repos\ML_forcasting_test\Program.cs:line 80 at System.Linq.Enumerable.SelectIterator[TSource, TResult](IEnumerable`1 source, Func`3 selector) + MoveNext() at ML_forcasting_test.Program.< Main > g__Forecast | 2_1(IDataView testData, Int32 horizon, TimeSeriesPredictionEngine`2 forecaster, MLContext mlContext) in C: \Users\Bjerne\source\repos\ML_forcasting_test\Program.cs:line 90 at ML_forcasting_test.Program.Main(String[] args) in C: \Users\Bjerne\source\repos\ML_forcasting_test\Program.cs:line 51";;"<unknown@example.com>: host example.com [123.123.123.123] said: 550 5.1.1 <unknown@example.com>: Recipient address rejected: User unknown in relay recipient table"
"Nov 28, 2016 @ 22:28:26.000";"Arthur COTTON";1;;"AppException: Error in CatchInner caused by calling the ThrowInner method. ---> AppException: Exception in ThrowInner method. at Example.ThrowInner() in d:\Windows\Temp\tc3jjgjd.0.cs:line 34 at Example.CatchInner() in d:\Windows\Temp\tc3jjgjd.0.cs:line 41 --- End of inner exception stack trace --- at Example.CatchInner() in d:\Windows\Temp\tc3jjgjd.0.cs:line 45 at Example.Main() in d:\Windows\Temp\tc3jjgjd.0.cs:line 19";
"Nov 27, 2016 @ 14:35:20.000";"Janet KIRKLAND";1;;;"<unknown@example.com>: host example.com [123.123.123.123] said: 550 5.1.1 <unknown@example.com>: Recipient address rejected: User unknown in relay recipient table"
"Nov 27, 2016 @ 05:09:20.000";"Gabriel CRAFT";0;;;
"Nov 27, 2016 @ 03:12:59.000";"Terry HUMPHREY";0;;;
"Nov 24, 2016 @ 13:44:09.000";"Lawrence BOONE";1;"System.Net.Http.ConnectHelper.ConnectAsync(String host, Int32 port, CancellationToken cancellationToken)   at System.Net.Http.HttpConnectionPool.ConnectAsync(HttpRequestMessage request, Boolean allowHttp2, CancellationToken cancellationToken)   at System.Net.Http.HttpConnectionPool.CreateHttp11ConnectionAsync(HttpRequestMessage request, CancellationToken cancellationToken)   at System.Net.Http.HttpConnectionPool.GetHttpConnectionAsync(HttpRequestMessage request, CancellationToken cancellationToken)   at System.Net.Http.HttpConnectionPool.SendWithRetryAsync(HttpRequestMessage request, Boolean doRequestAuth, CancellationToken cancellationToken)   at System.Net.Http.RedirectHandler.SendAsync(HttpRequestMessage request, CancellationToken cancellationToken)   at System.Net.Http.DiagnosticsHandler.SendAsync(HttpRequestMessage request, CancellationToken cancellationToken)   at System.Net.Http.HttpClient.FinishSendAsyncBuffered(Task`1 sendTask, HttpRequestMessage request, CancellationTokenSource cts, Boolean disposeCts)   at Web_API_Service.Controllers.ElkCheckController.AbuseThisGenerater(Int32 amount) in C:\Users\Jens Jesen\Source\Repos\Sem4Company\Web_API_Service\Controllers\ElkCheckController.cs:line 539";"In Main catch block. Caught: Error caused by trying ThrowInner. Inner Exception is MyAppException: ExceptExample inner exception at ExceptExample.ThrowInner() at ExceptExample.CatchInner()";"<user@example.com>: host mail9.example.com said: 552 Requested mail action aborted: exceeded storage allocation"
"Nov 22, 2016 @ 12:49:51.000";"Kathryn YOUNG";0;;;
"Nov 22, 2016 @ 10:09:04.000";"Walter RODGERS";0;;;
"Nov 22, 2016 @ 07:23:44.000";"Lauren FRAZIER";1;"Exception thrown: 'System.IndexOutOfRangeException' in ML_forcasting_test.dll 'ML_forcasting_test.exe'(CoreCLR: clrhost): Loaded 'C:\Program Files\dotnet\shared\Microsoft.NETCore.App\3.1.9\System.Diagnostics.StackTrace.dll'. 'ML_forcasting_test.exe'(CoreCLR: clrhost): Loaded 'C:\Program Files\dotnet\shared\Microsoft.NETCore.App\3.1.9\System.Reflection.Metadata.dll'.at ML_forcasting_test.Program.<> c__DisplayClass2_0.< Main > b__7(DBschemeModel rental, Int32 index) in C: \Users\Bjerne\source\repos\ML_forcasting_test\Program.cs:line 80 at System.Linq.Enumerable.SelectIterator[TSource, TResult](IEnumerable`1 source, Func`3 selector) + MoveNext() at ML_forcasting_test.Program.< Main > g__Forecast | 2_1(IDataView testData, Int32 horizon, TimeSeriesPredictionEngine`2 forecaster, MLContext mlContext) in C: \Users\Bjerne\source\repos\ML_forcasting_test\Program.cs:line 90 at ML_forcasting_test.Program.Main(String[] args) in C: \Users\Bjerne\source\repos\ML_forcasting_test\Program.cs:line 51";;
"Nov 21, 2016 @ 01:10:36.000";"Madison POTTER";1;;"In Main catch block. Caught: Error caused by trying ThrowInner. Inner Exception is MyAppException: ExceptExample inner exception at ExceptExample.ThrowInner() at ExceptExample.CatchInner()";"<user@example.com>: host mail9.example.com said: 552 Requested mail action aborted: exceeded storage allocation"
"Nov 19, 2016 @ 20:25:06.000";"Kathleen ACOSTA";0;;;
"Nov 18, 2016 @ 14:03:07.000";"Willie AYALA";1;"System.Net.Http.ConnectHelper.ConnectAsync(String host, Int32 port, CancellationToken cancellationToken)   at System.Net.Http.HttpConnectionPool.ConnectAsync(HttpRequestMessage request, Boolean allowHttp2, CancellationToken cancellationToken)   at System.Net.Http.HttpConnectionPool.CreateHttp11ConnectionAsync(HttpRequestMessage request, CancellationToken cancellationToken)   at System.Net.Http.HttpConnectionPool.GetHttpConnectionAsync(HttpRequestMessage request, CancellationToken cancellationToken)   at System.Net.Http.HttpConnectionPool.SendWithRetryAsync(HttpRequestMessage request, Boolean doRequestAuth, CancellationToken cancellationToken)   at System.Net.Http.RedirectHandler.SendAsync(HttpRequestMessage request, CancellationToken cancellationToken)   at System.Net.Http.DiagnosticsHandler.SendAsync(HttpRequestMessage request, CancellationToken cancellationToken)   at System.Net.Http.HttpClient.FinishSendAsyncBuffered(Task`1 sendTask, HttpRequestMessage request, CancellationTokenSource cts, Boolean disposeCts)   at Web_API_Service.Controllers.ElkCheckController.AbuseThisGenerater(Int32 amount) in C:\Users\Jens Jesen\Source\Repos\Sem4Company\Web_API_Service\Controllers\ElkCheckController.cs:line 539";"System.Net.Sockets.SocketException (11001): Værten kendes ikke. at System.Net.Http.ConnectHelper.ConnectAsync(String host, Int32 port, CancellationToken cancellationToken)";
"Nov 18, 2016 @ 12:41:20.000";"Nicole WATSON";0;;;
"Nov 18, 2016 @ 03:35:37.000";"Beverly HOOVER";0;;;
"Nov 18, 2016 @ 01:58:11.000";"Kimberly DURAN";1;"javax.servlet.ServletException: Something bad happened at com.example.myproject.OpenSessionInViewFilter.doFilter(OpenSessionInViewFilter.java:60) at org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1157) at com.example.myproject.ExceptionHandlerFilter.doFilter(ExceptionHandlerFilter.java:28) at org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1157) at com.example.myproject.OutputBufferFilter.doFilter(OutputBufferFilter.java:33) at org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1157) at org.mortbay.jetty.servlet.ServletHandler.handle(ServletHandler.java:388) at org.mortbay.jetty.security.SecurityHandler.handle(SecurityHandler.java:216) at org.mortbay.jetty.servlet.SessionHandler.handle(SessionHandler.java:182) at org.mortbay.jetty.handler.ContextHandler.handle(ContextHandler.java:765) at org.mortbay.jetty.webapp.WebAppContext.handle(WebAppContext.java:418) at org.mortbay.jetty.handler.HandlerWrapper.handle(HandlerWrapper.java:152) at org.mortbay.jetty.Server.handle(Server.java:326) at org.mortbay.jetty.HttpConnection.handleRequest(HttpConnection.java:542) at org.mortbay.jetty.HttpConnection$RequestHandler.content(HttpConnection.java:943) at org.mortbay.jetty.HttpParser.parseNext(HttpParser.java:756) at org.mortbay.jetty.HttpParser.parseAvailable(HttpParser.java:218) at org.mortbay.jetty.HttpConnection.handle(HttpConnection.java:404) at org.mortbay.jetty.bio.SocketConnector$Connection.run(SocketConnector.java:228) at org.mortbay.thread.QueuedThreadPool$PoolThread.run(QueuedThreadPool.java:582) Caused by: com.example.myproject.MyProjectServletException at com.example.myproject.MyServlet.doPost(MyServlet.java:169) at javax.servlet.http.HttpServlet.service(HttpServlet.java:727) at javax.servlet.http.HttpServlet.service(HttpServlet.java:820) at org.mortbay.jetty.servlet.ServletHolder.handle(ServletHolder.java:511) at org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1166) at com.example.myproject.OpenSessionInViewFilter.doFilter(OpenSessionInViewFilter.java:30) ... 27 more Caused by: org.hibernate.exception.ConstraintViolationException: could not insert: [com.example.myproject.MyEntity] at org.hibernate.exception.SQLStateConverter.convert(SQLStateConverter.java:96) at org.hibernate.exception.JDBCExceptionHelper.convert(JDBCExceptionHelper.java:66) at org.hibernate.id.insert.AbstractSelectingDelegate.performInsert(AbstractSelectingDelegate.java:64) at org.hibernate.persister.entity.AbstractEntityPersister.insert(AbstractEntityPersister.java:2329) at org.hibernate.persister.entity.AbstractEntityPersister.insert(AbstractEntityPersister.java:2822) at org.hibernate.action.EntityIdentityInsertAction.execute(EntityIdentityInsertAction.java:71) at org.hibernate.engine.ActionQueue.execute(ActionQueue.java:268) at org.hibernate.event.def.AbstractSaveEventListener.performSaveOrReplicate(AbstractSaveEventListener.java:321) at org.hibernate.event.def.AbstractSaveEventListener.performSave(AbstractSaveEventListener.java:204) at org.hibernate.event.def.AbstractSaveEventListener.saveWithGeneratedId(AbstractSaveEventListener.java:130) at org.hibernate.event.def.DefaultSaveOrUpdateEventListener.saveWithGeneratedOrRequestedId(DefaultSaveOrUpdateEventListener.java:210) at org.hibernate.event.def.DefaultSaveEventListener.saveWithGeneratedOrRequestedId(DefaultSaveEventListener.java:56) at org.hibernate.event.def.DefaultSaveOrUpdateEventListener.entityIsTransient(DefaultSaveOrUpdateEventListener.java:195) at org.hibernate.event.def.DefaultSaveEventListener.performSaveOrUpdate(DefaultSaveEventListener.java:50) at org.hibernate.event.def.DefaultSaveOrUpdateEventListener.onSaveOrUpdate(DefaultSaveOrUpdateEventListener.java:93) at org.hibernate.impl.SessionImpl.fireSave(SessionImpl.java:705) at org.hibernate.impl.SessionImpl.save(SessionImpl.java:693) at org.hibernate.impl.SessionImpl.save(SessionImpl.java:689) at sun.reflect.GeneratedMethodAccessor5.invoke(Unknown Source) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25) at java.lang.reflect.Method.invoke(Method.java:597) at org.hibernate.context.ThreadLocalSessionContext$TransactionProtectionWrapper.invoke(ThreadLocalSessionContext.java:344) at $Proxy19.save(Unknown Source) at com.example.myproject.MyEntityService.save(MyEntityService.java:59) <-- relevant call (see notes below) at com.example.myproject.MyServlet.doPost(MyServlet.java:164) ... 32 more Caused by: java.sql.SQLException: Violation of unique constraint MY_ENTITY_UK_1: duplicate value(s) for column(s) MY_COLUMN in statement [...] at org.hsqldb.jdbc.Util.throwError(Unknown Source) at org.hsqldb.jdbc.jdbcPreparedStatement.executeUpdate(Unknown Source) at com.mchange.v2.c3p0.impl.NewProxyPreparedStatement.executeUpdate(NewProxyPreparedStatement.java:105) at org.hibernate.id.insert.AbstractSelectingDelegate.performInsert(AbstractSelectingDelegate.java:57)";;"<registrations@conference2019.net>: host xxx.server.lt[194.135.87.23] said: 550-SPF check failed - 88.99.71.145 is not allowed to send mail from 550 conference2019.net"
"Nov 17, 2016 @ 00:34:24.000";"Kevin HENSON";0;;;
"Nov 16, 2016 @ 05:52:31.000";"Nathan MCGOWAN";1;;;"<registrations@conference2019.net>: host xxx.server.lt[194.135.87.23] said: 550-SPF check failed - 88.99.71.145 is not allowed to send mail from 550 conference2019.net"
"Nov 16, 2016 @ 01:25:18.000";"Samuel UNDERWOOD";1;"Exception thrown: 'System.IndexOutOfRangeException' in ML_forcasting_test.dll 'ML_forcasting_test.exe'(CoreCLR: clrhost): Loaded 'C:\Program Files\dotnet\shared\Microsoft.NETCore.App\3.1.9\System.Diagnostics.StackTrace.dll'. 'ML_forcasting_test.exe'(CoreCLR: clrhost): Loaded 'C:\Program Files\dotnet\shared\Microsoft.NETCore.App\3.1.9\System.Reflection.Metadata.dll'.at ML_forcasting_test.Program.<> c__DisplayClass2_0.< Main > b__7(DBschemeModel rental, Int32 index) in C: \Users\Bjerne\source\repos\ML_forcasting_test\Program.cs:line 80 at System.Linq.Enumerable.SelectIterator[TSource, TResult](IEnumerable`1 source, Func`3 selector) + MoveNext() at ML_forcasting_test.Program.< Main > g__Forecast | 2_1(IDataView testData, Int32 horizon, TimeSeriesPredictionEngine`2 forecaster, MLContext mlContext) in C: \Users\Bjerne\source\repos\ML_forcasting_test\Program.cs:line 90 at ML_forcasting_test.Program.Main(String[] args) in C: \Users\Bjerne\source\repos\ML_forcasting_test\Program.cs:line 51";"AppException: Error in CatchInner caused by calling the ThrowInner method. ---> AppException: Exception in ThrowInner method. at Example.ThrowInner() in d:\Windows\Temp\tc3jjgjd.0.cs:line 34 at Example.CatchInner() in d:\Windows\Temp\tc3jjgjd.0.cs:line 41 --- End of inner exception stack trace --- at Example.CatchInner() in d:\Windows\Temp\tc3jjgjd.0.cs:line 45 at Example.Main() in d:\Windows\Temp\tc3jjgjd.0.cs:line 19";"<unknown@example.com>: host example.com [123.123.123.123] said: 550 5.1.1 <unknown@example.com>: Recipient address rejected: User unknown in relay recipient table"
"Nov 15, 2016 @ 15:31:43.000";"Kelly MELTON";1;"javax.servlet.ServletException: Something bad happened at com.example.myproject.OpenSessionInViewFilter.doFilter(OpenSessionInViewFilter.java:60) at org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1157) at com.example.myproject.ExceptionHandlerFilter.doFilter(ExceptionHandlerFilter.java:28) at org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1157) at com.example.myproject.OutputBufferFilter.doFilter(OutputBufferFilter.java:33) at org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1157) at org.mortbay.jetty.servlet.ServletHandler.handle(ServletHandler.java:388) at org.mortbay.jetty.security.SecurityHandler.handle(SecurityHandler.java:216) at org.mortbay.jetty.servlet.SessionHandler.handle(SessionHandler.java:182) at org.mortbay.jetty.handler.ContextHandler.handle(ContextHandler.java:765) at org.mortbay.jetty.webapp.WebAppContext.handle(WebAppContext.java:418) at org.mortbay.jetty.handler.HandlerWrapper.handle(HandlerWrapper.java:152) at org.mortbay.jetty.Server.handle(Server.java:326) at org.mortbay.jetty.HttpConnection.handleRequest(HttpConnection.java:542) at org.mortbay.jetty.HttpConnection$RequestHandler.content(HttpConnection.java:943) at org.mortbay.jetty.HttpParser.parseNext(HttpParser.java:756) at org.mortbay.jetty.HttpParser.parseAvailable(HttpParser.java:218) at org.mortbay.jetty.HttpConnection.handle(HttpConnection.java:404) at org.mortbay.jetty.bio.SocketConnector$Connection.run(SocketConnector.java:228) at org.mortbay.thread.QueuedThreadPool$PoolThread.run(QueuedThreadPool.java:582) Caused by: com.example.myproject.MyProjectServletException at com.example.myproject.MyServlet.doPost(MyServlet.java:169) at javax.servlet.http.HttpServlet.service(HttpServlet.java:727) at javax.servlet.http.HttpServlet.service(HttpServlet.java:820) at org.mortbay.jetty.servlet.ServletHolder.handle(ServletHolder.java:511) at org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1166) at com.example.myproject.OpenSessionInViewFilter.doFilter(OpenSessionInViewFilter.java:30) ... 27 more Caused by: org.hibernate.exception.ConstraintViolationException: could not insert: [com.example.myproject.MyEntity] at org.hibernate.exception.SQLStateConverter.convert(SQLStateConverter.java:96) at org.hibernate.exception.JDBCExceptionHelper.convert(JDBCExceptionHelper.java:66) at org.hibernate.id.insert.AbstractSelectingDelegate.performInsert(AbstractSelectingDelegate.java:64) at org.hibernate.persister.entity.AbstractEntityPersister.insert(AbstractEntityPersister.java:2329) at org.hibernate.persister.entity.AbstractEntityPersister.insert(AbstractEntityPersister.java:2822) at org.hibernate.action.EntityIdentityInsertAction.execute(EntityIdentityInsertAction.java:71) at org.hibernate.engine.ActionQueue.execute(ActionQueue.java:268) at org.hibernate.event.def.AbstractSaveEventListener.performSaveOrReplicate(AbstractSaveEventListener.java:321) at org.hibernate.event.def.AbstractSaveEventListener.performSave(AbstractSaveEventListener.java:204) at org.hibernate.event.def.AbstractSaveEventListener.saveWithGeneratedId(AbstractSaveEventListener.java:130) at org.hibernate.event.def.DefaultSaveOrUpdateEventListener.saveWithGeneratedOrRequestedId(DefaultSaveOrUpdateEventListener.java:210) at org.hibernate.event.def.DefaultSaveEventListener.saveWithGeneratedOrRequestedId(DefaultSaveEventListener.java:56) at org.hibernate.event.def.DefaultSaveOrUpdateEventListener.entityIsTransient(DefaultSaveOrUpdateEventListener.java:195) at org.hibernate.event.def.DefaultSaveEventListener.performSaveOrUpdate(DefaultSaveEventListener.java:50) at org.hibernate.event.def.DefaultSaveOrUpdateEventListener.onSaveOrUpdate(DefaultSaveOrUpdateEventListener.java:93) at org.hibernate.impl.SessionImpl.fireSave(SessionImpl.java:705) at org.hibernate.impl.SessionImpl.save(SessionImpl.java:693) at org.hibernate.impl.SessionImpl.save(SessionImpl.java:689) at sun.reflect.GeneratedMethodAccessor5.invoke(Unknown Source) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25) at java.lang.reflect.Method.invoke(Method.java:597) at org.hibernate.context.ThreadLocalSessionContext$TransactionProtectionWrapper.invoke(ThreadLocalSessionContext.java:344) at $Proxy19.save(Unknown Source) at com.example.myproject.MyEntityService.save(MyEntityService.java:59) <-- relevant call (see notes below) at com.example.myproject.MyServlet.doPost(MyServlet.java:164) ... 32 more Caused by: java.sql.SQLException: Violation of unique constraint MY_ENTITY_UK_1: duplicate value(s) for column(s) MY_COLUMN in statement [...] at org.hsqldb.jdbc.Util.throwError(Unknown Source) at org.hsqldb.jdbc.jdbcPreparedStatement.executeUpdate(Unknown Source) at com.mchange.v2.c3p0.impl.NewProxyPreparedStatement.executeUpdate(NewProxyPreparedStatement.java:105) at org.hibernate.id.insert.AbstractSelectingDelegate.performInsert(AbstractSelectingDelegate.java:57)";"AppException: Error in CatchInner caused by calling the ThrowInner method. ---> AppException: Exception in ThrowInner method. at Example.ThrowInner() in d:\Windows\Temp\tc3jjgjd.0.cs:line 34 at Example.CatchInner() in d:\Windows\Temp\tc3jjgjd.0.cs:line 41 --- End of inner exception stack trace --- at Example.CatchInner() in d:\Windows\Temp\tc3jjgjd.0.cs:line 45 at Example.Main() in d:\Windows\Temp\tc3jjgjd.0.cs:line 19";"<unknown@example.com>: host example.com [123.123.123.123] said: 550 5.1.1 <unknown@example.com>: Recipient address rejected: User unknown in relay recipient table"
"Nov 15, 2016 @ 11:24:20.000";"Mark BARBER";0;;;
"Nov 14, 2016 @ 09:15:17.000";"Diane MONTOYA";0;;;
"Nov 13, 2016 @ 03:56:10.000";"Ronald HART";0;;;
"Nov 13, 2016 @ 01:42:02.000";"Steven COFFEY";1;"Exception thrown: 'System.IndexOutOfRangeException' in ML_forcasting_test.dll 'ML_forcasting_test.exe'(CoreCLR: clrhost): Loaded 'C:\Program Files\dotnet\shared\Microsoft.NETCore.App\3.1.9\System.Diagnostics.StackTrace.dll'. 'ML_forcasting_test.exe'(CoreCLR: clrhost): Loaded 'C:\Program Files\dotnet\shared\Microsoft.NETCore.App\3.1.9\System.Reflection.Metadata.dll'.at ML_forcasting_test.Program.<> c__DisplayClass2_0.< Main > b__7(DBschemeModel rental, Int32 index) in C: \Users\Bjerne\source\repos\ML_forcasting_test\Program.cs:line 80 at System.Linq.Enumerable.SelectIterator[TSource, TResult](IEnumerable`1 source, Func`3 selector) + MoveNext() at ML_forcasting_test.Program.< Main > g__Forecast | 2_1(IDataView testData, Int32 horizon, TimeSeriesPredictionEngine`2 forecaster, MLContext mlContext) in C: \Users\Bjerne\source\repos\ML_forcasting_test\Program.cs:line 90 at ML_forcasting_test.Program.Main(String[] args) in C: \Users\Bjerne\source\repos\ML_forcasting_test\Program.cs:line 51";"System.Net.Sockets.SocketException (11001): Værten kendes ikke. at System.Net.Http.ConnectHelper.ConnectAsync(String host, Int32 port, CancellationToken cancellationToken)";
"Nov 12, 2016 @ 13:41:07.000";"Joe BENSON";1;"Exception thrown: 'System.IndexOutOfRangeException' in ML_forcasting_test.dll 'ML_forcasting_test.exe'(CoreCLR: clrhost): Loaded 'C:\Program Files\dotnet\shared\Microsoft.NETCore.App\3.1.9\System.Diagnostics.StackTrace.dll'. 'ML_forcasting_test.exe'(CoreCLR: clrhost): Loaded 'C:\Program Files\dotnet\shared\Microsoft.NETCore.App\3.1.9\System.Reflection.Metadata.dll'.at ML_forcasting_test.Program.<> c__DisplayClass2_0.< Main > b__7(DBschemeModel rental, Int32 index) in C: \Users\Bjerne\source\repos\ML_forcasting_test\Program.cs:line 80 at System.Linq.Enumerable.SelectIterator[TSource, TResult](IEnumerable`1 source, Func`3 selector) + MoveNext() at ML_forcasting_test.Program.< Main > g__Forecast | 2_1(IDataView testData, Int32 horizon, TimeSeriesPredictionEngine`2 forecaster, MLContext mlContext) in C: \Users\Bjerne\source\repos\ML_forcasting_test\Program.cs:line 90 at ML_forcasting_test.Program.Main(String[] args) in C: \Users\Bjerne\source\repos\ML_forcasting_test\Program.cs:line 51";"AppException: Error in CatchInner caused by calling the ThrowInner method. ---> AppException: Exception in ThrowInner method. at Example.ThrowInner() in d:\Windows\Temp\tc3jjgjd.0.cs:line 34 at Example.CatchInner() in d:\Windows\Temp\tc3jjgjd.0.cs:line 41 --- End of inner exception stack trace --- at Example.CatchInner() in d:\Windows\Temp\tc3jjgjd.0.cs:line 45 at Example.Main() in d:\Windows\Temp\tc3jjgjd.0.cs:line 19";
"Nov 10, 2016 @ 19:23:16.000";"Emma BAUER";0;;;
"Nov 8, 2016 @ 07:04:13.000";"Roger DENNIS";1;;"AppException: Error in CatchInner caused by calling the ThrowInner method. ---> AppException: Exception in ThrowInner method. at Example.ThrowInner() in d:\Windows\Temp\tc3jjgjd.0.cs:line 34 at Example.CatchInner() in d:\Windows\Temp\tc3jjgjd.0.cs:line 41 --- End of inner exception stack trace --- at Example.CatchInner() in d:\Windows\Temp\tc3jjgjd.0.cs:line 45 at Example.Main() in d:\Windows\Temp\tc3jjgjd.0.cs:line 19";
"Nov 7, 2016 @ 16:01:02.000";"Gabriel MCCORMICK";0;;;
"Nov 7, 2016 @ 15:37:37.000";"Michael ARMSTRONG";1;"Exception thrown: 'System.IndexOutOfRangeException' in ML_forcasting_test.dll 'ML_forcasting_test.exe'(CoreCLR: clrhost): Loaded 'C:\Program Files\dotnet\shared\Microsoft.NETCore.App\3.1.9\System.Diagnostics.StackTrace.dll'. 'ML_forcasting_test.exe'(CoreCLR: clrhost): Loaded 'C:\Program Files\dotnet\shared\Microsoft.NETCore.App\3.1.9\System.Reflection.Metadata.dll'.at ML_forcasting_test.Program.<> c__DisplayClass2_0.< Main > b__7(DBschemeModel rental, Int32 index) in C: \Users\Bjerne\source\repos\ML_forcasting_test\Program.cs:line 80 at System.Linq.Enumerable.SelectIterator[TSource, TResult](IEnumerable`1 source, Func`3 selector) + MoveNext() at ML_forcasting_test.Program.< Main > g__Forecast | 2_1(IDataView testData, Int32 horizon, TimeSeriesPredictionEngine`2 forecaster, MLContext mlContext) in C: \Users\Bjerne\source\repos\ML_forcasting_test\Program.cs:line 90 at ML_forcasting_test.Program.Main(String[] args) in C: \Users\Bjerne\source\repos\ML_forcasting_test\Program.cs:line 51";;"<registrations@conference2019.net>: host xxx.server.lt[194.135.87.23] said: 550-SPF check failed - 88.99.71.145 is not allowed to send mail from 550 conference2019.net"
"Nov 7, 2016 @ 13:41:33.000";"Joshua DAUGHERTY";0;;;
"Nov 6, 2016 @ 06:22:48.000";"Joe BENSON";1;;;"<unknown@example.com>: host example.com [123.123.123.123] said: 550 5.1.1 <unknown@example.com>: Recipient address rejected: User unknown in relay recipient table"
"Nov 4, 2016 @ 09:28:25.000";"Douglas HANEY";1;"System.Net.Http.ConnectHelper.ConnectAsync(String host, Int32 port, CancellationToken cancellationToken)   at System.Net.Http.HttpConnectionPool.ConnectAsync(HttpRequestMessage request, Boolean allowHttp2, CancellationToken cancellationToken)   at System.Net.Http.HttpConnectionPool.CreateHttp11ConnectionAsync(HttpRequestMessage request, CancellationToken cancellationToken)   at System.Net.Http.HttpConnectionPool.GetHttpConnectionAsync(HttpRequestMessage request, CancellationToken cancellationToken)   at System.Net.Http.HttpConnectionPool.SendWithRetryAsync(HttpRequestMessage request, Boolean doRequestAuth, CancellationToken cancellationToken)   at System.Net.Http.RedirectHandler.SendAsync(HttpRequestMessage request, CancellationToken cancellationToken)   at System.Net.Http.DiagnosticsHandler.SendAsync(HttpRequestMessage request, CancellationToken cancellationToken)   at System.Net.Http.HttpClient.FinishSendAsyncBuffered(Task`1 sendTask, HttpRequestMessage request, CancellationTokenSource cts, Boolean disposeCts)   at Web_API_Service.Controllers.ElkCheckController.AbuseThisGenerater(Int32 amount) in C:\Users\Jens Jesen\Source\Repos\Sem4Company\Web_API_Service\Controllers\ElkCheckController.cs:line 539";;
"Nov 3, 2016 @ 20:29:49.000";"Diane LOVE";1;"System.Net.Http.ConnectHelper.ConnectAsync(String host, Int32 port, CancellationToken cancellationToken)   at System.Net.Http.HttpConnectionPool.ConnectAsync(HttpRequestMessage request, Boolean allowHttp2, CancellationToken cancellationToken)   at System.Net.Http.HttpConnectionPool.CreateHttp11ConnectionAsync(HttpRequestMessage request, CancellationToken cancellationToken)   at System.Net.Http.HttpConnectionPool.GetHttpConnectionAsync(HttpRequestMessage request, CancellationToken cancellationToken)   at System.Net.Http.HttpConnectionPool.SendWithRetryAsync(HttpRequestMessage request, Boolean doRequestAuth, CancellationToken cancellationToken)   at System.Net.Http.RedirectHandler.SendAsync(HttpRequestMessage request, CancellationToken cancellationToken)   at System.Net.Http.DiagnosticsHandler.SendAsync(HttpRequestMessage request, CancellationToken cancellationToken)   at System.Net.Http.HttpClient.FinishSendAsyncBuffered(Task`1 sendTask, HttpRequestMessage request, CancellationTokenSource cts, Boolean disposeCts)   at Web_API_Service.Controllers.ElkCheckController.AbuseThisGenerater(Int32 amount) in C:\Users\Jens Jesen\Source\Repos\Sem4Company\Web_API_Service\Controllers\ElkCheckController.cs:line 539";;
"Nov 3, 2016 @ 04:51:12.000";"Randy LAWSON";0;;;
"Nov 2, 2016 @ 12:55:27.000";"Margaret DEJESUS";1;;;"<unknown@example.com>: host example.com [123.123.123.123] said: 550 5.1.1 <unknown@example.com>: Recipient address rejected: User unknown in relay recipient table"
